land_use_type	building_density	floor_area_ratio	vacant_land_ratio	medical_coverage	education_coverage	transport_coverage	community_coverage	population_density	income_level	marriage_rate	birth_rate	housing_cost	rental_cost	subsidy_coverage	maintenance_cost
2	0.5605262117050561	2.0691289318657518	0.1375814060498339	0.8335288726046417	0.849353439229745	0.8488924918335683	0.7717250633619162	17932.598350600638	406.16176679961336	0.3936066797165173	0.09767650141219328	72.90630995471774	26.82064855049626	0.5442536083462067	52.88091225401618
1	0.6088171802144464	1.7760063941314783	0.09154201646334512	0.734821409150781	1.0	0.9448253982595595	0.738792577006148	15986.79298104832	482.0683019404639	0.4241129468437558	0.147303109505703	106.57818465013015	40.83648732242545	0.6749081183762035	61.34834403487663
1	0.7060190912957375	2.19266618533318	0.0564516889330279	0.6329404389892981	0.6724105674392893	0.9685514869577799	0.6247107316253682	12829.494360630099	458.76609027246406	0.45118071097918033	0.11750024808204704	68.48791628338574	34.322009963275164	0.8165342794659486	65.18599086477118
2	0.6972972707573882	1.8084941318713352	0.05806919589972248	0.9318081237372559	0.8155513777162983	0.9566775806289335	0.7922335205553779	18727.510905211504	500.78027451509155	0.484298611172289	0.13317693430323757	95.46984934597798	29.925157610212437	0.6568233646538247	54.39747363891923
2	0.6040138593453515	2.1021892052504816	0.24197008368500578	0.7270548318865799	0.9551422722942403	0.7963768375186092	0.6649132124273842	14771.059947742986	451.3289185661792	0.4424768793633543	0.13349022476609285	121.30766467906572	25.404450190360844	0.5439237359222365	70.92564476960898
3	0.6408511772434956	2.2547524773914778	0.2555963464472069	0.7889255876284971	0.8765363887542179	1.0	0.6230775390845201	14213.138499391844	501.16251647656463	0.6154361345280018	0.1427504239311773	94.12403287748388	31.75285865657969	0.6031624840747117	35.57747206898565
2	0.5854633686230994	2.013612202099017	0.13817627635529242	0.828273411722092	1.0	0.8061852176687084	0.7274183516308701	14954.045113888997	490.91514479652665	0.5265508186324178	0.1134488967884941	106.62500042726762	26.351703917397497	0.7637070112456685	47.307815117373494
1	0.6026085633938307	2.677508817912083	0.18345850014914908	0.8637085061892595	0.9362732730194997	0.8475525867406315	0.5901351784064853	14209.803189171327	488.19782419019	0.5400819871592674	0.1377429025971122	79.30894279850965	27.458487607980636	0.6685493587582947	51.67005142142433
3	0.6027736967093515	1.9019766070709812	0.21148217371467898	0.75079600967691	0.8490503436264442	0.8826698100303012	0.7880582301707689	16425.406097867955	410.71688235664385	0.4666500323688747	0.11322222575582332	99.85687145928927	25.27982187049822	0.6478475128147618	51.81984581084872
3	0.6394764015659344	2.671499134546119	0.1646785476600285	0.6533100157748756	0.8541204680613401	0.7091032746633347	0.68755211159647	14127.526708776606	360.21279605919017	0.5168926011095765	0.13412102529635145	104.9088864902376	31.517124275737928	0.9069784928333197	62.10585538702562
1	0.6580148839650757	2.571567096615522	0.16895984485721643	0.768563754856314	0.7994815702709263	0.818204239191696	0.709543093166343	17044.02745346518	488.85815736068054	0.47386594419451444	0.08939184506712188	116.06078536477092	30.1206055346301	0.7523296094983052	54.99253383425861
2	0.6492525772887837	2.555395684184621	0.02283980673423581	0.6874362065403702	0.9074932793241155	0.7972069676214301	0.6352608972990773	15065.403081036775	377.72065690333704	0.4796778137384562	0.0983093564569236	86.28384179442759	28.629123920356243	0.8278920202048294	59.009897753620024
